Year,Research Title,Name of Faculty Researcher,Status of Research,Date Started,Date of Completion,Title of Forum,Venue,Forum Type,Date of Presentation,is_duplicate,authors,research_theme
2021,An English Language Learners Perspective: Implementation of Flexible Blended Learning in an ESL Learning Context,Nikka Mae Adling,Completed,2020-10-05,2021-01-05,3rd DLSAU International Multidisciplinary Research Conference,De La Salle Araneta University via microsoft teams,International,"January 22-23, 2021",False,['Nikka Mae Adling'],Education
2021,"Remote Flexible Blended Learning as an Instructional Modality for Physical Course amidst the COVID-19 Pandemic: A Phenomenological Study on the Experiences, Challenges Encountered and Suggestions of Students in a Public College",Bernice Jacob V. Garcia,Completed,2020-09-15,2021-12-15,3rd DLSAU International Multidisciplinary Research Conference,De La Salle Araneta University via microsoft teams,International,"January 22-23, 2021",False,['Bernice Jacob V. Garcia'],Education
2021,Utilization of Kamansi Seeds,Rudolph L. Malinao,Completed,2020-10-05,2021-01-05,3rd DLSAU International Multidisciplinary Research Conference,De La Salle Araneta University via microsoft teams,International,"January 22-23, 2021",False,['Rudolph L. Malinao'],Other
2021,"Learning Under Lockdown: ELS Students? Experiences, Challenges, and Suggestions on Remote Learning  in the Rural Setting Amidst the COVID-19 Pandemic",Giannina Elaine M. Labicane,Completed,2020-09-01,2021-01-01,3rd DLSAU International Multidisciplinary Research Conference,De La Salle Araneta University via microsoft teams,International,"January 22-23, 2021",False,['Giannina Elaine M. Labicane'],Education
2021,E-Skwela in the Age of Pandemic: Perception of BA Communication Students in the Use of Virtual Classrooms for the Online Classes,Anna Roffel O. Lozada,Completed,2020-09-15,2021-01-15,3rd International Congress in Multidisciplinary Research ,via zoom video conference,International,"February 12-14, 2021",False,['Anna Roffel O. Lozada'],Education
2021,"Response of Local Government Unit Towards Covid-19 Pandemic: A Study of Health Crisis Communication Management of Barangay Pili, Mogpog, Marinduque",Jerome Lingon,Completed,2020-07-15,2020-12-15,3rd International Congress in Multidisciplinary Research ,via zoom video conference,International,"February 12-14, 2021",False,['Jerome Lingon'],Health
2021,Success and Challenges of BSIT Students in Learning English in a Flexible Blended Learning Context,Nikka Mae  Adling,Completed,2020-09-15,2021-12-15,3rd Linguistic Society of the Philippines International Conference 2021 (LSPIC 2021) ,University of Sto. Tomas via Zoom ,International,"March 11-13, 2021",False,['Nikka Mae  Adling'],Education
2021,Transitivity Analysis of Public Forum Responses of Candidates for SUC President in Marinduque State College,Cherie Ann M. Luna,Completed,2020-12-01,2021-02-01,3rd Linguistic Society of the Philippines International Conference 2021 (LSPIC 2021) ,University of Sto. Tomas via Zoom ,International,"March 11-13, 2021",False,['Cherie Ann M. Luna'],Governance
2021,Tanawing Pangwika: Isang Pag-aaral sa Kasiglahan ng Wika sa Poblasyon ng Summer Capital ng  Marinduque,Marieneth L. Malubag,Completed,2020-01-15,2020-06-15,3rd Linguistic Society of the Philippines International Conference 2021 (LSPIC 2021) ,University of Sto. Tomas via Zoom ,International,"March 11-13, 2021",False,['Marieneth L. Malubag'],Other
2021,Perception of ELS Students on the Use of Open Education Resources (OER) for Remote Learning,Giannina Elaine M. Labicane,Completed,2020-10-01,2021-01-15,3rd Linguistic Society of the Philippines International Conference 2021 (LSPIC 2021) ,University of Sto. Tomas via Zoom ,International,"March 11-13, 2021",False,['Giannina Elaine M. Labicane'],Education
2021,Development and Validation of Technology-Enhanced Module for Teaching Oral Communication in Context,Cristina S. Atienza,Completed,2020-10-15,2021-02-15,3rd Linguistic Society of the Philippines International Conference 2021 (LSPIC 2021) ,University of Sto. Tomas via Zoom ,International,"March 11-13, 2021",False,['Cristina S. Atienza'],Other
2021,"Enhancement, Restoration, and Protection of Nipa Stands in Marinduque","Doreen R. Mascare�as*
Wilson R. Paez
Reyalyn V. Malapad
Harvey A. Dulay
Desiree Anne Sto.Domingo ",    Ongoing,2020-01-01,2022-12-31,2nd International Conference on Governance and Development (ICDG2),University of the Philippines Los Ba�os,International,"March 23-25, 2021",False,"['Doreen R. Mascare�as*', 'Wilson R. Paez', 'Reyalyn V. Malapad', 'Harvey A. Dulay', 'Desiree Anne Sto.Domingo']",Other
2021,Analysis of Difficulty Levels of Information Technology Tools During the Pandemic,Lorimer Imperio ,Completed,2020-12-15,2021-03-15,"17th International Conference on Technology, Knowledge, and Society","University of Melbourne, Australia ? Technology, Knowledge & Society Research Network",International,"April 6-9, 2021",False,['Lorimer Imperio'],Other
2021,Healing Practices used by Traditional Doctors: The Effectiveness in Medication,Bernice Jacob V. Garcia,Completed,2021-01-10,2021-03-10,"International Virtual Multidisciplinary Research Conference
",St. Dominic College of Asia,International,"April 26-27, 2021",False,['Bernice Jacob V. Garcia'],Other
2021,"Phytochemical and Mineral Analysis of Trichantera Gigantea established in Markaduke Research and Development Center (MRDC) Marinduque, Philippines",Joeauna L. Loto,Completed,2021-01-05,2021-04-05,5th International Conference in Latest Trends of Education and Research (ICILTER) ,via Zoom - Global Researchers Association and Convergence for Excellence (GRACE) Inc.,International,"May 13-15, 2021",False,['Joeauna L. Loto'],Other
2021,Acid Drainage from Sulphidic Mine Wastes: Comparing Continental Climate Mainland and Tropical  Climate Sea Deposition Settings,"Roja L. Medianista
Erzsebet Harman-Toth 
Isma Irshad,
Tamas Gabor Weiszburg",Completed,2020-12-15,2021-04-15,"ACTA Mineralogica-Petrographica Department of Mineralogy, Geochemistry and Petrology ","University of Szeged, Szeged, Hungary",International,"May 13-14, 2021",False,"['Roja L. Medianista', 'Erzsebet Harman-Toth', 'Isma Irshad', 'Tamas Gabor Weiszburg']",Other
2021,Inventory Management and Recordkeeping Practices of Paru-Paro Farms in the Province of Marinduque: Basis for Improved Financial Management Strategies,Alfredo M. Ofrecio III,Completed,2020-11-15,2021-04-15,"Philippine Institute of Certified Public Accountants (PICPA Foundation, Inc.) National Association of Certified Public Accountants in Education ",via zoom,International,"May 14-15, 2021",False,['Alfredo M. Ofrecio III'],Other
2021,Flexible Blended Learning Experiences of Marinduque State College Students: Implications to the Development of English Language Learning Proficiency ,Nikka Mae J. Adling ,Completed,2020-01-15,2020-06-15,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,['Nikka Mae J. Adling'],Education
2021,Na Dolores Na: Exploring the Awareness of Teenagers to their Barangay?s Origin,"Randy T. Nobleza*, Ronnie Mae P. Rullan and 
Queen Hyra Joy M. Naling ",Completed,2021-01-15,2021-05-15,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,"['Randy T. Nobleza*', 'Ronnie Mae P. Rullan and', 'Queen Hyra Joy M. Naling']",Other
2021,Taza: Verity of the Myth and its Social Inferences to the Inhabitants of Barangay Tanza ,"Randy T. Nobleza*, 
Gabrielle L. Ricafrente",Completed,2021-01-15,2021-05-15,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,"['Randy T. Nobleza*', 'Gabrielle L. Ricafrente']",Other
2021,Validation and Acceptability of the Developed E-module in  Mathematics 9,Jamieca M. Morales,Completed,2021-03-01,2021-06-01,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,['Jamieca M. Morales'],Other
2021,"Spatial Variation of Macroinvertebrate Communities in Seagrass Habitats and Ecotones between Adjacent Habitats in Marinduque Island, Philippines ",Regie F. Mampusti,Completed,2020-12-15,2021-06-15,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,['Regie F. Mampusti'],Other
2021,Intensification of the Utilization of Coconut Husk in the Province of Marinduque,"Harvey A. Dulay,Doreen R. Mascare�as Shela May Morillo*, Rodel Manrique, Edmund Macapia, Ronamel Malco",    Ongoing,1905-07-09,1905-07-13,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,"['Harvey A. Dulay', 'Doreen R. Mascare�as Shela May Morillo*', 'Rodel Manrique', 'Edmund Macapia', 'Ronamel Malco']",Other
2021,Holistic and Ecofriendly Actions with Locals towards Healthy Community (HEALTH Comm.) Programs in Philippines: An Impact Assessment,Kane Carol T. Matibag,Completed,2021-01-15,2021-06-15,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,['Kane Carol T. Matibag'],Health
2021,Performance of the Barangay  Disaster Risk Reduction and  Management Committee in Island and Mainland Barangays in Marinduque,Keam Eric L. Malabayabas,Completed,2021-01-20,2021-05-20,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,['Keam Eric L. Malabayabas'],Other
2021,Web-based Loan Management for Mogpog Multi-Purpose  Cooperative,"Eunice De luna- Malinao*, Jerome L. Alcala, John Cris E. Ortiz, Judith G. Montero, Riza G. Lacdao",Completed,2021-01-15,2021-05-15,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,"['Eunice De luna- Malinao*', 'Jerome L. Alcala', 'John Cris E. Ortiz', 'Judith G. Montero', 'Riza G. Lacdao']",Other
2021,Parental Engagement in ICT Related subjects: A Case Study on the Role and Competencies of Parents in Children?s Learning amidst Pandemic,"Beneden Morong Logmao*, Arben A. Ornedo, Christine May L. Nabos, Ivy Joy N. Aguiflor",Completed,2021-01-15,2021-06-15,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,"['Beneden Morong Logmao*', 'Arben A. Ornedo', 'Christine May L. Nabos', 'Ivy Joy N. Aguiflor']",Education
2021,"National ICT Competency Standards (NICS) Basic Assessment on Selected Personnel in the Municipal Government of Boac, Marinduque",Katrina Evangelista-De mesa,Completed,2020-12-15,2021-06-15,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,['Katrina Evangelista-De mesa'],Governance
2021,"Web-Based Monitoring and Controlling   System of Swine Feeding, Bathing, and Manure Cleaning for Marinduque Local Pig Farmers Using Arduino, Raspberry Pi and Internet of Things (IoT)","Ana Fe N. Molato*, Bernard Allen Montalban, Danielle Magyaya,  
Angelica Montiano and Jonielyn Villaruel",Completed,2021-01-20,2021-05-20,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,False,"['Ana Fe N. Molato*', 'Bernard Allen Montalban', 'Danielle Magyaya', 'Angelica Montiano and Jonielyn Villaruel']",Other
2021,"Web-Based Monitoring and Controlling   System of Swine Feeding, Bathing, and Manure Cleaning for Marinduque Local Pig Farmers Using Arduino, Raspberry Pi and Internet of Things (IoT)","Doreen R. Mascare�as, Harvey A. Dulay, Jayson Loto, Ma. Edelwina M. Blas�, Gil Magdurulan, Desiree Anne M. Sto. Domingo*, Edmund Macapia, and  John Paul Mataya",Completed,2020-11-18,2021-03-18,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,29/06/2021,True,"['Doreen R. Mascare�as', 'Harvey A. Dulay', 'Jayson Loto', 'Ma. Edelwina M. Blas�', 'Gil Magdurulan', 'Desiree Anne M. Sto. Domingo*', 'Edmund Macapia', 'and  John Paul Mataya']",Other
2021,"Subsistence of Arts and Cultural Heritage in the Island Province of Marinduque, Philippines: Education Challenges in the New Normal ",Rex Emmanuel L. Asuncion,Completed,2021-01-15,2021-06-15,2nd International Research and Education  Summit (2nd IRES) ,via Zoom,International,"July 24-26, 2021",False,['Rex Emmanuel L. Asuncion'],Education
2021,Mapping of Selected Social Practices as Intangible Cultural Heritage in Marinduque,Bernadette N. Del Prado,Completed,2021-01-15,2021-06-15,2nd International Research and Education  Summit (2nd IRES) ,via Zoom,International,"July 24-26, 2021",False,['Bernadette N. Del Prado'],Tourism
2021,Exploring the Traditional Marindukanon Recreational Games as Input for Learning Module in  P.E. Based on the ASCP Whole Child Framework,Genil S. Labaguis,Completed,2021-01-15,2021-06-15,2nd International Research and Education  Summit (2nd IRES) ,via Zoom,International,"July 24-26, 2021",False,['Genil S. Labaguis'],Education
